text,label
"Government announces new rural healthcare program aimed at improving vaccination access.",real
"Scientists confirm that drinking cold water after meals causes heart failure.",fake
"Local authorities open a new sports complex to support youth development.",real
"NASA admits the moon landing was staged and filmed inside a studio in California.",fake
"New agricultural reforms improve minimum support prices for small farmers across India.",real
"Study claims that sleeping under WiFi routers causes permanent brain shrinkage.",fake
"ISRO successfully tests reusable launch vehicle in major step toward affordable space missions.",real
"Doctors warn that eating bread after 6 PM increases risk of cancer by 80%.",fake
"United Nations releases annual education report showing improvement in literacy rates.",real
"Celebrity claims that drinking hot lemon water every morning can cure all diseases.",fake
"Indian Railways launches AI-based system to reduce delays across major stations.",real
"Rumor spreads online that COVID vaccines contain microchips for government tracking.",fake
"School introduces coding and robotics classes for students from Class 6 onwards.",real
"Post shared online says Earth will be hit by a giant asteroid next month and NASA is hiding it.",fake
"New wildlife protection law increases penalties for illegal hunting.",real
"Fake message alleges that tomatoes imported from other countries contain plastic.",fake
"Government announces subsidy for electric two-wheelers to promote clean mobility.",real
"Social media posts claim drinking saltwater can prevent viral infections.",fake
"Hospitals adopt digital record systems to streamline patient care.",real
"Rumor says that frozen packaged foods contain harmful chemicals banned worldwide.",fake
"Students win national innovation award for developing low-cost water purifier.",real
"Posts circulating online say wearing headphones for more than an hour causes blindness.",fake
"Local community starts tree plantation drive resulting in 10,000 new saplings.",real
"News claims scientists discovered a way to reverse aging using simple household ingredients.",fake
"University researchers develop technique to reduce crop damage using drones.",real
"Popular video claims airplanes spray toxic chemicals as part of secret government plan.",fake
"Metro service begins new express route cutting travel time significantly.",real
"Fake report claims low-quality cooking oil turns into plastic when heated.",fake
"Minister announces digital skill training for unemployed youth across major districts.",real
"New metro line extension opens reducing commute time for thousands.",real
"Viral rumor claims drinking coconut oil every morning guarantees 10-year life extension.",fake
"City hospital installs new MRI machine improving diagnostic accuracy.",real
"False claim spreads that eating bananas on an empty stomach causes stomach cancer.",fake
"Prime Minister inaugurates new expressway to boost regional trade.",real
"Online posts claim rubbing onion juice on your feet cures viral fever.",fake
"State government launches scholarship program for economically weak students.",real
"Message circulating on WhatsApp says ATM cards will stop working after midnight due to 'system reset'.",fake
"Forest department rescues injured leopard from village outskirts.",real
"Fake warning says that turning on your phone’s flashlight sends your location to hackers.",fake
"New solar park becomes operational powering over 50,000 homes.",real
"Hoax claims scientists proved that Earth will tilt 46 degrees next year causing global blackout.",fake
"University announces coding bootcamp to help students learn AI tools.",real
"Social media rumor says rainwater this year is 'acidic' and can burn skin.",fake
"Government approves construction of new cancer treatment facility.",real
"Fake message claims grocery stores are selling rice made from plastic pellets.",fake
"Scientists discover new bacteria that help improve soil fertility.",real
